# Informe Mensal FIDC — observed CSV headers, competência 2026-08 (fetched 2026-09-11 from dados.cvm.gov.br)
# One block per ZIP member. Separator ';'. Encoding latin-1. This is the raw observation the mapping freeze (BACKLOG #1) diffs against Suplemento G.

## inf_mensal_fidc_tab_III_202608.csv  (13 columns, 664 data rows)
   18  TAB_VII_B2_1_QT_PREST
   19  TAB_VII_B2_2_VL_PREST
   20  TAB_VII_B2_3_VL_CONTAB_PREST
   21  TAB_VII_B3_1_QT_TERCEIRO
   22  TAB_VII_B3_2_VL_TERCEIRO
   23  TAB_VII_B3_3_VL_CONTAB_TERCEIRO
   24  TAB_VII_C_1_QT_SUBST
   25  TAB_VII_C_2_VL_SUBST
   26  TAB_VII_C_3_VL_CONTAB_SUBST
   27  TAB_VII_D_1_QT_RECOMPRA
   28  TAB_VII_D_2_VL_RECOMPRA
   29  TAB_VII_D_3_VL_CONTAB_RECOMPRA

## inf_mensal_fidc_tab_VI_202608.csv  (37 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_VI_A_VL_DIRCRED_PRAZO
    6  TAB_VI_A1_VL_PRAZO_VENC_30
    7  TAB_VI_A2_VL_PRAZO_VENC_60
    8  TAB_VI_A3_VL_PRAZO_VENC_90
    9  TAB_VI_A4_VL_PRAZO_VENC_120
   10  TAB_VI_A5_VL_PRAZO_VENC_150
   11  TAB_VI_A6_VL_PRAZO_VENC_180
   12  TAB_VI_A7_VL_PRAZO_VENC_360
   13  TAB_VI_A8_VL_PRAZO_VENC_720
   14  TAB_VI_A9_VL_PRAZO_VENC_1080
   15  TAB_VI_A10_VL_PRAZO_VENC_MAIOR_1080
   16  TAB_VI_B_VL_DIRCRED_INAD
   17  TAB_VI_B1_VL_INAD_30
   18  TAB_VI_B2_VL_INAD_60
   19  TAB_VI_B3_VL_INAD_90
   20  TAB_VI_B4_VL_INAD_120
   21  TAB_VI_B5_VL_INAD_150
   22  TAB_VI_B6_VL_INAD_180
   23  TAB_VI_B7_VL_INAD_360
   24  TAB_VI_B8_VL_INAD_720
   25  TAB_VI_B9_VL_INAD_1080
   26  TAB_VI_B10_VL_INAD_MAIOR_1080
   27  TAB_VI_C_VL_DIRCRED_ANTECIPADO
   28  TAB_VI_C1_VL_ANTECIPADO_30
   29  TAB_VI_C2_VL_ANTECIPADO_60
   30  TAB_VI_C3_VL_ANTECIPADO_90
   31  TAB_VI_C4_VL_ANTECIPADO_120
   32  TAB_VI_C5_VL_ANTECIPADO_150
   33  TAB_VI_C6_VL_ANTECIPADO_180
   34  TAB_VI_C7_VL_ANTECIPADO_360
   35  TAB_VI_C8_VL_ANTECIPADO_720
   36  TAB_VI_C9_VL_ANTECIPADO_1080
   37  TAB_VI_C10_VL_ANTECIPADO_MAIOR_1080

## inf_mensal_fidc_tab_V_202608.csv  (37 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_V_A_VL_DIRCRED_PRAZO
    6  TAB_V_A1_VL_PRAZO_VENC_30
    7  TAB_V_A2_VL_PRAZO_VENC_60
    8  TAB_V_A3_VL_PRAZO_VENC_90
    9  TAB_V_A4_VL_PRAZO_VENC_120
   10  TAB_V_A5_VL_PRAZO_VENC_150
   11  TAB_V_A6_VL_PRAZO_VENC_180
   12  TAB_V_A7_VL_PRAZO_VENC_360
   13  TAB_V_A8_VL_PRAZO_VENC_720
   14  TAB_V_A9_VL_PRAZO_VENC_1080
   15  TAB_V_A10_VL_PRAZO_VENC_MAIOR_1080
   16  TAB_V_B_VL_DIRCRED_INAD
   17  TAB_V_B1_VL_INAD_30
   18  TAB_V_B2_VL_INAD_60
   19  TAB_V_B3_VL_INAD_90
   20  TAB_V_B4_VL_INAD_120
   21  TAB_V_B5_VL_INAD_150
   22  TAB_V_B6_VL_INAD_180
   23  TAB_V_B7_VL_INAD_360
   24  TAB_V_B8_VL_INAD_720
   25  TAB_V_B9_VL_INAD_1080
   26  TAB_V_B10_VL_INAD_MAIOR_1080
   27  TAB_V_C_VL_DIRCRED_ANTECIPADO
   28  TAB_V_C1_VL_ANTECIPADO_30
   29  TAB_V_C2_VL_ANTECIPADO_60
   30  TAB_V_C3_VL_ANTECIPADO_90
   31  TAB_V_C4_VL_ANTECIPADO_120
   32  TAB_V_C5_VL_ANTECIPADO_150
   33  TAB_V_C6_VL_ANTECIPADO_180
   34  TAB_V_C7_VL_ANTECIPADO_360
   35  TAB_V_C8_VL_ANTECIPADO_720
   36  TAB_V_C9_VL_ANTECIPADO_1080
   37  TAB_V_C10_VL_ANTECIPADO_MAIOR_1080

## inf_mensal_fidc_tab_X_1_1_202608.csv  (36 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_X_NR_COTST_SENIOR_PF
    6  TAB_X_NR_COTST_SENIOR_PJ_NAO_FINANC
    7  TAB_X_NR_COTST_SENIOR_BANCO
    8  TAB_X_NR_COTST_SENIOR_CORRETORA_DISTRIB
    9  TAB_X_NR_COTST_SENIOR_PJ_FINANC
   10  TAB_X_NR_COTST_SENIOR_INVNR
   11  TAB_X_NR_COTST_SENIOR_EAPC
   12  TAB_X_NR_COTST_SENIOR_EFPC
   13  TAB_X_NR_COTST_SENIOR_RPPS
   14  TAB_X_NR_COTST_SENIOR_SEGUR
   15  TAB_X_NR_COTST_SENIOR_CAPITALIZ
   16  TAB_X_NR_COTST_SENIOR_COTA_FIDC
   17  TAB_X_NR_COTST_SENIOR_FII
   18  TAB_X_NR_COTST_SENIOR_OUTRO_FI
   19  TAB_X_NR_COTST_SENIOR_CLUBE
   20  TAB_X_NR_COTST_SENIOR_OUTRO
   21  TAB_X_NR_COTST_SUBORD_PF
   22  TAB_X_NR_COTST_SUBORD_PJ_NAO_FINANC
   23  TAB_X_NR_COTST_SUBORD_BANCO
   24  TAB_X_NR_COTST_SUBORD_CORRETORA_DISTRIB
   25  TAB_X_NR_COTST_SUBORD_PJ_FINANC
   26  TAB_X_NR_COTST_SUBORD_INVNR
   27  TAB_X_NR_COTST_SUBORD_EAPC
   28  TAB_X_NR_COTST_SUBORD_EFPC
   29  TAB_X_NR_COTST_SUBORD_RPPS
   30  TAB_X_NR_COTST_SUBORD_SEGUR
   31  TAB_X_NR_COTST_SUBORD_CAPITALIZ
   32  TAB_X_NR_COTST_SUBORD_COTA_FIDC
   33  TAB_X_NR_COTST_SUBORD_FII
   34  TAB_X_NR_COTST_SUBORD_OUTRO_FI
   35  TAB_X_NR_COTST_SUBORD_CLUBE
   36  TAB_X_NR_COTST_SUBORD_OUTRO

## inf_mensal_fidc_tab_X_1_202608.csv  (7 columns, 1521 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_X_CLASSE_SERIE
    6  ID_SUBCLASSE
    7  TAB_X_NR_COTST

## inf_mensal_fidc_tab_X_202608.csv  (23 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_X_SCR_RISCO_DEVEDOR_AA
    6  TAB_X_SCR_RISCO_DEVEDOR_A
    7  TAB_X_SCR_RISCO_DEVEDOR_B
    8  TAB_X_SCR_RISCO_DEVEDOR_C
    9  TAB_X_SCR_RISCO_DEVEDOR_D
   10  TAB_X_SCR_RISCO_DEVEDOR_E
   11  TAB_X_SCR_RISCO_DEVEDOR_F
